id_film,film,Link,state,stop_date
40,Em Xinh Tinh Quái,https://moveek.com/phim/em-xinh-tinh-quai,coming_soon,NA
41,Có Chơi Có Chịu,https://moveek.com/phim/co-choi-co-chiu,coming_soon,NA
42,Khế Ước Bán Dâu,https://moveek.com/phim/khe-uoc-ban-dau,coming_soon,NA
43,Phá Đám Sinh Nhật Mẹ,https://moveek.com/phim/pha-dam-sinh-nhat-me,coming_soon,NA
44,Hành Trình Rực Rỡ Ta Đã Yêu,https://moveek.com/phim/hanh-trinh-ruc-ro-ta-da-yeu,coming_soon,NA
45,Bịt Mắt Bắt Nai,https://moveek.com/phim/bit-mat-bat-nai,coming_soon,NA
46,Trăm Dặm Tử Thần,https://moveek.com/phim/tram-dam-tu-than,coming_soon,NA
47,Huyền Thoại,https://moveek.com/phim/him,coming_soon,NA
48,The Conjuring: Nghi Lễ Cuối Cùng,https://moveek.com/phim/the-conjuring-last-rites,coming_soon,NA
49,Chainsaw Man - The Movie: Chương Reze,https://moveek.com/phim/chainsaw-man-the-movie-chuong-reze,coming_soon,NA
50,Nhà Búp Bê Của Gabby: Phim Điện Ảnh,https://moveek.com/phim/gabbys-dollhouse-the-movie,coming_soon,NA
51,Tử Chiến Trên Không,https://moveek.com/phim/tu-chien-tren-khong,coming_soon,NA
52,Trận Chiến Sau Trận Chiến,https://moveek.com/phim/one-battle-after-another,coming_soon,NA
53,The Bride!,https://moveek.com/phim/the-bride-1,coming_soon,NA
54,Tay Anh Giữ Một Vì Sao,https://moveek.com/phim/tay-anh-giu-mot-vi-sao,coming_soon,NA
55,Trò Chơi Ảo Giác,https://moveek.com/phim/tron-ares,coming_soon,NA
56,Tee Yod 3: Quỷ Ăn Tạng,https://moveek.com/phim/tee-yod-3-quy-an-tang,coming_soon,NA
57,Animal Friends,https://moveek.com/phim/animal-friends,coming_soon,NA
58,Điện Thoại Đen 2,https://moveek.com/phim/black-phone-2,coming_soon,NA
59,Cục Vàng Của Ngoại,https://moveek.com/phim/cuc-vang-cua-ngoai,coming_soon,NA
60,Mortal Kombat 2: Cuộc Chiến Sinh Tử,https://moveek.com/phim/mortal-kombat-2-cuoc-chien-sinh-tu,coming_soon,NA
61,Nhà Ma Xó,https://moveek.com/phim/nha-ma-xo,coming_soon,NA
62,Phòng 4.13,https://moveek.com/phim/phong-4-13,coming_soon,NA
63,"Năm Của Anh, Ngày Của Em",https://moveek.com/phim/nam-cua-anh-ngay-cua-em,coming_soon,NA
64,Chị Ngã Em Nâng,https://moveek.com/phim/chi-nga-em-nang,coming_soon,NA
65,Trái Tim Què Quặt,https://moveek.com/phim/trai-tim-que-quat,coming_soon,NA
