film,user,score,content
Địa Đạo: Mặt Trời Trong Bóng Tối,Lê Quang Đạt,10,"Phim rất hay, tuy chưa đào sâu vào trận chiến khốc liệt của địa đạo Củ Chi nhưng cũng mang lại cho người xem cái nhìn về cuộc sống của các chiến sĩ Việt Nam lúc đó, rất đáng để xem."
Địa Đạo: Mặt Trời Trong Bóng Tối,dương Quý Khang,9,Phim hay lắm nên coi thử 1 lần
Địa Đạo: Mặt Trời Trong Bóng Tối,Nguyễn Duy Thắng,8,"Cũng được, kết hơi cụt. Nhưng mà vẫn chạm đến cảm xúc của mình."
Địa Đạo: Mặt Trời Trong Bóng Tối,Lã Thị Thu Hà,7,Dạng phim tư liệu hợp lý hơn
Địa Đạo: Mặt Trời Trong Bóng Tối,Nguyễn Mai Phượng,10,"Một bộ phim hay, có giá trị nghệ thuật và lịch sử rất cao"
Địa Đạo: Mặt Trời Trong Bóng Tối,Nguyễn Thu Hằng,7,"Tình tiết mang yếu tố sex không che có thể lược bớt, làm tinh tế hơn ( để các bạn PTCS có thể dc phép xem phim)"
Địa Đạo: Mặt Trời Trong Bóng Tối,Bích Ngọc,10,"Phim hay, thu hút, thể hiện lòng yêu nước, thế hệ trẻ có thể hiểu phần nào sự cực khổ hy sinh của cha ông ngày xưa"
Địa Đạo: Mặt Trời Trong Bóng Tối,Linhduyen050920,10,phim hay lắm nha
Địa Đạo: Mặt Trời Trong Bóng Tối,Vi Thuý,10,"Phm rất hay và ý nghĩa. Cảnh quay và hiệu ứng rất châ thực. Cảm giác khi xem xem phim thấy khá nặng nề, ngột ngạt, nhưng xe xong ra khỏi rạp mớ càng thấy yêu quý cuộc sống tự do, yêu cuộc đời và biết ơn các thế hệ cha ông!"
Địa Đạo: Mặt Trời Trong Bóng Tối,Trương thị Loan phụng,10,"quá tuyệt vời ạ, đầy cảm xúc và diễn xuất rất xuất sắc của các diễn viên."
Địa Đạo: Mặt Trời Trong Bóng Tối,Ng_Giang02,9,"Xem phim xong tự hào về đất nước mình quá chừng. Có những phân đoạn mình đã nổi da gà và rơi nước mắt, khóc vì thương cho sự hi sinh của cha ông ta, khóc vì cảm thán trước tinh thần yêu nước của quân dân. 2 tiếng có lẽ là không đủ để lột tả hết những khó khăn, gian khổ và tình tiết của cả trận đấu ở Củ Chi. Xin một lần nữa được cúi mình trước ý chí kiên cường và tinh thần bất khuất của người chiến sĩ, khâm phục nhà làm phim vì đã làm ra những thước phim tái hiện lại lịch sử chiến đấu của dân tộc. Âm thanh, hình ảnh phim khá xuất sắc đối với mình. Cái kết mở nên mình vẫn còn hơi khúc mắc, hi vọng sẽ có p2 và p3. Mong các nhà làm phim sẽ đẩy mạnh khai thác đề tài phim về lịch sử chiến tranh của cha ông ta, mình rất mong chờ được xem phim về chiến thắng Điện Biên Phủ. Mình chỉ đọc qua trận đánh trong sách vở nhưng nếu để dựng thành phim thì sẽ rất hào hùng. Moi người nên đi xem Địa Đạo nha, không phí tiền đâu ạ !"
Địa Đạo: Mặt Trời Trong Bóng Tối,Nguyễn Thị Cẩm Ly,10,Phim hay lắm luôn. Nên đi xem
Địa Đạo: Mặt Trời Trong Bóng Tối,Ice2612,9,"Nhìn nhận thực tế trong 2 tiếng thì kịch bản không thể nào lột tả được hết sự khốc liệt của chiến tranh nên mn xem sẽ có sự hụt hẫng.Tuy nhiên để quay được những cảnh phim dưới Địa Đạo thì đoàn đã rất xuất sắc,mình vô cùng nể phục đoàn .Mn nên đọc hay xem thêm tư liệu trước khi xem để có trãi nghiệm hay nhất.
Mong đạo diễn có thể nghiên cứu +học hỏi và tạo thêm những tác phẩm lịch sử hào hùng như Địa Đạo.Xin cảm ơn^^"
Địa Đạo: Mặt Trời Trong Bóng Tối,IAMOLD,10,Có lẽ tôi nên xem lại vài phim chiến tranh của Việt Nam làm bởi phim này quá đạt
Địa Đạo: Mặt Trời Trong Bóng Tối,Vũ thị kim viet,10,"Xem xong phim Địa đạo, lòng tôi bồi hồi không yên. Những hình ảnh tái hiện lại một thời chiến tranh gian khổ, khi mà đồng bào ta phải sống, chiến đấu dưới lòng đất – nơi thiếu ánh sáng nhưng tràn đầy hy vọng – khiến tôi vừa xúc động vừa cảm phục vô cùng.

Là một người phụ nữ trung niên, đã từng nghe cha mẹ kể nhiều về chiến tranh, nhưng phải đến khi tận mắt chứng kiến qua bộ phim, tôi mới thật sự cảm nhận sâu sắc tinh thần bất khuất của dân tộc mình. Những người chiến sĩ, những người mẹ, người chị, người em – tất cả đã cùng nhau gồng gánh, bảo vệ từng tấc đất quê hương bằng tất cả máu xương và lòng kiên trung. Địa đạo không chỉ là nơi trú ẩn, mà còn là biểu tượng của trí tuệ và bản lĩnh Việt Nam.

Phim khiến tôi rơi nước mắt khi thấy những cảnh cả làng cùng nhau đào từng mét đất, sống giữa lòng đất ẩm ướt, thiếu thốn mọi thứ, nhưng ai cũng một lòng hướng về Tổ quốc. Họ đã hy sinh cả tuổi trẻ, thậm chí cả mạng sống, để đất nước hôm nay được bình yên.

Tôi cảm thấy mình thật may mắn khi được sống trong thời bình. Và càng xem, tôi càng thấy rõ trách nhiệm của thế hệ mình: phải giữ gìn những giá trị truyền thống, phải dạy cho con cháu biết quý trọng lịch sử, trân trọng những hy sinh mà cha ông đã trải qua. Địa đạo không chỉ là một bộ phim, mà là lời nhắc nhở sâu sắc về lòng yêu nước, về sức mạnh của tinh thần Việt Nam."
Địa Đạo: Mặt Trời Trong Bóng Tối,Tran Tuan Anh,9,"Phim khá hay, có đầu tư, mà cái kết hơi vội chưa nghĩ đó là kết"
Địa Đạo: Mặt Trời Trong Bóng Tối,Phan Thị Bình,10,"Phim tái hiện về Địa Đạo Củ Chi rất ý nghĩa, các bạn trẻ nên xem để thấy đc sự hy sinh của các thế hệ Ông Cha đi trước"
Địa Đạo: Mặt Trời Trong Bóng Tối,Lê Nguyễn Tri Ân,3,"phim dỡ tệ, nội dung không nói lên được ý nghĩa của thời cục. Không xoáy vào và làm rõ vấn đề gì cả. Có thể nói là chấp vá từng đoạn và ghép lại thành phim. Cạn lời với đạo diễn"
Địa Đạo: Mặt Trời Trong Bóng Tối,Tiên,10,"Rất đáng giá, cảm nhận được sự ngột ngạt qua bộ phim tư liệu này và cảm thấy tự hào khi được nhìn thấy đất nước của hôm nay."
Địa Đạo: Mặt Trời Trong Bóng Tối,Nguyễn thuý hằng,9,"Tất cả hay trừ cảnh nóng cuối phim. Làm bộ phim trở nên khó hiểu, rẻ mạt hơn.Thay vì cảnh nóng vô lý đó, tại sao ko là 1 cảnh ôm,hay là cái nắm tay nhau cùng đi qua địa đạo."
Địa Đạo: Mặt Trời Trong Bóng Tối,Huỳnh Thị Như Ý,10,"Mình chỉ có 2 từ đó là 'Tự Hào', dành cho bộ phim và những người đã đấu tranh vì độc lập dân tộc"
Địa Đạo: Mặt Trời Trong Bóng Tối,Dương Đức Trí,10,Phim quá hay quá ý nghĩa
Địa Đạo: Mặt Trời Trong Bóng Tối,Lê Hoàng Bảo Linh,10,Có thể ra nhiều thể loại phim lịch sử như thế này được không ạ. Ra rạp xem mình thấy rất nhiều bạn trẻ háo hức và hưởng ứng( có cả mình trong đó nữa) 😍
Địa Đạo: Mặt Trời Trong Bóng Tối,Hồ Nguyễn Vân Anh,10,Siêu hay đáng để xem nói về chiến tranh ở đạo củ chi siêu cuốn
Địa Đạo: Mặt Trời Trong Bóng Tối,Đỗ Anh Minh,9,Phim Việt hay nhất mà tôi từng xem. Hơi nhiều cảnh nóng ko cần thiết
Địa Đạo: Mặt Trời Trong Bóng Tối,Đoàn Quang Huy,10,"Rất thực tế về thời kì chiến tranh ở địa đạo, mình thấy tái thực lại lịch sử gần như là 99% và mình rất thích xem những nội dung như thế này"
Địa Đạo: Mặt Trời Trong Bóng Tối,Trần Đức Tài,10,"rất hay , phục vụ tốt"
Địa Đạo: Mặt Trời Trong Bóng Tối,Võ Mai Linh,10,Phim siêu đỉnh chời ơi
Địa Đạo: Mặt Trời Trong Bóng Tối,Nguyễn Thanh Huy,10,hay lắm luôn mn
Địa Đạo: Mặt Trời Trong Bóng Tối,Nguyễn Hữu Quốc Thái,7,"Phim hay ạ,hiệu ứng phim rất chân thực,mình kh bt có phần 2 kh nhưng phần này cái kết khá bất ngờ ạ"
Địa Đạo: Mặt Trời Trong Bóng Tối,Phạm Hải Tương,10,"Ý nghĩa, sâu sắc, chân thực. 10 điểm"
Địa Đạo: Mặt Trời Trong Bóng Tối,LÊ THỊ HOA,10,Phim rất hay. Phim tái hiện lịch sử thời kỳ kháng chiến chống Mỹ năm 1966.
Địa Đạo: Mặt Trời Trong Bóng Tối,Trần Ngọc Bảo Châu,10,99999999999 /10 điểm
Địa Đạo: Mặt Trời Trong Bóng Tối,Nguyễn Vũ Thái Dương,10,Phim quá hay
Địa Đạo: Mặt Trời Trong Bóng Tối,Dương Minh Đăng,2,"nội dung không rõ ràng, quá khó để nhớ nhân vật nào ra nhân vật nào (do tên nhân vật, do tạo hình nhân vật giống nhau, dotên nhân vật được nhắc tới quá ít/tên nhân vật khi được nói lên khó nghe rõ) màn kết mở của phim rất tệ, lần đầu xem phim rạp mà ngồi chán như thế này."
Địa Đạo: Mặt Trời Trong Bóng Tối,Nguyễn Thị Thanh Tâm,9,"Phim hay, xúc động về những hi sinh, về tình đồng chí của du kích trong chiến tranh dù cs thiếu thốn, vất vả. Tôi đã khóc trong 1 số phân đoạn. Chỉ hơi ngại với cảnh nóng cuối phim"
Địa Đạo: Mặt Trời Trong Bóng Tối,Bùi Thị Hiền Thương,9,"Phim đỉnh lắm luôn. Nó sẽ không wao như mọi người nghĩ nhưng mà bù lại, coi xong sẽ cảm thấy cực kì ý nghĩa á. Kiểu sẽ giúp mình hiểu rõ hơn về thời kì chiến tranh, sẽ cảm nhận được nhiều hơn về cái khổ ngày ấy. Diễn viên đóng cũng ổn lắm nha, thể hiện được cảm xúc đúng cảnh phim. Có những góc khuất về chiến trang mà với một người 18t như mình nếu chỉ đọc trong sách vở cũng không lột tả được. Nhưng mà có mấy cảnh 18+ mình vẫn chưa hiểu được lí do mà nhà sản xuất đưa vào phim có ý nghĩa gì. Nhưng mà tóm lại là nên coi nha"
Địa Đạo: Mặt Trời Trong Bóng Tối,Phương Lin,10,Hic em cảm động lắm. Chi tiết nào em cũng khóc ngất. Vì mình đang ở độ tuổi như các anh các chị thời đó nhưng hiẹna tại mình chỉ cần cầm bút viết tiếp tương lai đất nước. Còn các anh chị thời ấy phải cằm súng bảo vệ Tổ quốc. Phim đem lại cảm xúc thật nhất cho giới trẻ hiện nay hiểu những gì ông bà cha anh ta đã trãi qua. Em xin trân trọng cảm ơn !
Địa Đạo: Mặt Trời Trong Bóng Tối,Trần Lan,10,Ý nghĩa 30/4 nên phổ cập cho thế hệ trẻ hiểu và yêu nước Việt Nam
Địa Đạo: Mặt Trời Trong Bóng Tối,miduynph,8,"Bộ phim lịch sử hiếm hoi của điện ảnh Việt trong những năm gần đây. Câu chuyện đủ chân thực, đủ tàn khốc chỉ thiếu một chút sử thi bi tráng nữa thì sẽ tuyệt vời hơn thế. Dàn diễn viên hi sinh hết mình với tạo hình ốm đói, khắc khổ. Các cảnh bom đạn, vũ khí, khí tài quân sự đều thật và hoành tráng. Cảnh nóng của phim có phần chưa cần thiết lắm. Nhìn chung đây là một bộ phim đáng xem dịp lễ này."
Địa Đạo: Mặt Trời Trong Bóng Tối,blakenguyen,8,"Fim chiến tranh hiếm hoi của Việt Nam, được đầu tư bài bản từ ngoại cảnh, trạng phục đến dàn diễn viên hết sức cống hiến cho vai diễn. Nhịp phim chậm rãi, có phần như một bộ phim tài liệu tua chậm lại những khó khăn, gian khổ nơi địa đạo mà các chiến sĩ du kích phải chịu đựng. Sự chân thật là điều đạo diễn muốn tập trung nên lại đã bỏ qua những đại cảnh thật sự đắt giá khiến khán giả có thể wow lên, hay tính bi tráng đậm chất tuyên truyền như một số phim cùng thể loại đã không xuất hiện. Ngoài ra, yếu tố tình cảm 18+ có thực sự cần thiết trong một bộ phim đề cao giá trị tinh thần người lính cũng là một điều nên bàn tới."
Địa Đạo: Mặt Trời Trong Bóng Tối,Nguyễn Ngọc Hải,10,Film hay cảnh quay chân thực
Địa Đạo: Mặt Trời Trong Bóng Tối,anan681,9,"Phim hay, ý nghĩa. Cảnh quay rất chân thực, khốc liệt, không kém phần hoành tráng vì phim chịu đầu tư và có tìm hiểu kỹ lưỡng. Có hạn chế nhất định về nhiều vấn đề 9 trị hoặc kinh phí nên độ ""khủng khiếp"" thì chưa tới mức wow, nhưng vẫn hừng hực khí thế."
Địa Đạo: Mặt Trời Trong Bóng Tối,Trương Trần Hoàng Huy,8,Cái kết mở quá
Địa Đạo: Mặt Trời Trong Bóng Tối,Hồ Thị Hằng,5,Ý là đang cảm xúc dâng cao tự nhiên có yếu tố 18+ vào cái tuột mood ngang:((
